Watched,Name,Year,Rating,Rewatch
06/01/2018,Split,2016,3.5,
15/01/2018,The Bad Education Movie,2015,3.5,
16/01/2018,The Greatest Showman,2017,3.5,
22/01/2018,"Three Billboards Outside Ebbing, Missouri",2017,4.5,
30/01/2018,The Post,2017,3.5,
06/02/2018,Phantom Thread,2017,4,
09/02/2018,When We First Met,2018,3,
18/02/2018,Shallow Grave,1994,5,Yes
20/02/2018,Good Time,2017,3,
27/02/2018,Wanted,2008,2.5,
05/03/2018,Game Night,2018,3.5,
12/03/2018,Moonrise Kingdom,2012,3,
14/03/2018,Annihilation,2018,3.5,
17/03/2018,Handsome Devil,2016,2.5,
18/03/2018,Ghost Dog: The Way of the Samurai,1999,4,
18/03/2018,The Intouchables,2011,5,
18/03/2018,28 Days Later,2002,3.5,
19/03/2018,American Honey,2016,4.5,
19/03/2018,Tomb Raider,2018,3.5,
21/03/2018,Icarus,2017,3.5,
29/03/2018,It's Kind of a Funny Story,2010,2,
29/03/2018,Ready Player One,2018,4.5,
03/04/2018,Borg vs McEnroe,2017,3.5,
07/04/2018,Rush,2013,3,
07/04/2018,Napoleon Dynamite,2004,2.5,
09/04/2018,Thoroughbreds,2017,5,
13/04/2018,Fantastic Mr. Fox,2009,4,
11/05/2018,Hesher,2010,2.5,
15/05/2018,Burnt,2015,2.5,
25/05/2018,Deadpool 2,2018,3,
26/05/2018,Thoroughbreds,2017,5,Yes
27/05/2018,Sherlock Gnomes,2018,2,
31/05/2018,Gnomeo & Juliet,2011,2.5,
02/06/2018,The Lord of the Rings: The Fellowship of the Ring,2001,3.5,
03/06/2018,Pi,1998,4,
03/06/2018,Notorious,1946,3.5,
04/06/2018,Enter the Dragon,1973,4,
05/06/2018,An Education,2009,3,
06/06/2018,Fist of Fury,1972,3.5,
06/06/2018,Source Code,2011,3,
12/06/2018,Sicario,2015,4,
14/06/2018,The Five-Year Engagement,2012,3,
14/06/2018,The Adjustment Bureau,2011,3.5,
23/06/2018,Ocean's Eight,2018,3.5,
24/06/2018,Brothers,2009,4.5,
26/06/2018,No Strings Attached,2011,2.5,
26/06/2018,Love & Other Drugs,2010,3.5,
27/06/2018,Coherence,2013,4,
28/06/2018,Darkest Hour,2017,3,
29/06/2018,Sicario: Day of the Soldado,2018,4.5,
02/07/2018,Tag,2018,3,
03/07/2018,Only God Forgives,2013,2,
04/07/2018,Edge of Tomorrow,2014,4,
04/07/2018,Terminal,2018,2,
06/07/2018,Stoker,2013,4,
07/07/2018,Don't Breathe,2016,3,
08/07/2018,Seven Psychopaths,2012,3,
09/07/2018,Sicario: Day of the Soldado,2018,4.5,Yes
10/07/2018,Mamma Mia!,2008,2.5,
11/07/2018,One Flew Over the Cuckoo's Nest,1975,4.5,
13/07/2018,Rebecca,1940,4,
13/07/2018,Chungking Express,1994,4.5,
16/07/2018,Incredibles 2,2018,2.5,
17/07/2018,Eyes Wide Shut,1999,4.5,Yes
18/07/2018,In Bruges,2008,4,Yes
19/07/2018,Fight Club,1999,5,Yes
20/07/2018,Shame,2011,5,Yes
21/07/2018,Blue Velvet,1986,3,
22/07/2018,Passion,2012,2,
23/07/2018,Mamma Mia! Here We Go Again,2018,3.5,
24/07/2018,Band of Outsiders,1964,3.5,
25/07/2018,Caché,2005,3.5,
25/07/2018,Inside Llewyn Davis,2013,4,
27/07/2018,To the Wonder,2012,2.5,
28/07/2018,Contempt,1963,3,
30/07/2018,The King of Comedy,1982,4,
30/07/2018,Fargo,1996,3.5,
31/07/2018,The Game,1997,4,
31/07/2018,Punch-Drunk Love,2002,3.5,
31/07/2018,Leap Year,2010,3,
01/08/2018,Dazed and Confused,1993,4,
01/08/2018,La Haine,1995,5,
03/08/2018,Sicario,2015,4.5,Yes
05/08/2018,The Guernsey Literary & Potato Peel Pie Society,2018,3,
12/08/2018,Baby Driver,2017,3.5,Yes
13/08/2018,The First Purge,2018,3,
13/08/2018,Arrival,2016,3.5,
14/08/2018,The Terminal,2004,3.5,
15/08/2018,Rain Man,1988,4,
19/08/2018,The Festival,2018,3,
19/08/2018,There Will Be Blood,2007,5,
20/08/2018,The Purge,2013,2,
22/08/2018,Notting Hill,1999,3,
25/08/2018,Belly,1998,3.5,
26/08/2018,BlacKkKlansman,2018,3.5,
27/08/2018,To All the Boys I've Loved Before,2018,2.5,
30/08/2018,A Quiet Place,2018,3.5,
01/09/2018,Mission: Impossible - Fallout,2018,4,
09/09/2018,Ghost in the Shell,1995,4,
09/09/2018,Monty Python and the Holy Grail,1975,4.5,
16/09/2018,Blade Runner,1982,4,
16/09/2018,Life of Brian,1979,3.5,
17/09/2018,Fallen Angels,1995,3.5,
22/09/2018,Initial D,2005,3,
22/09/2018,The Conjuring,2013,3.5,
23/09/2018,Mistress America,2015,4,
23/09/2018,Frances Ha,2012,2.5,
23/09/2018,Hardcore Henry,2015,3,
24/09/2018,Tangerine,2015,4.5,
27/09/2018,Princess Cyd,2017,3.5,
06/10/2018,Venom,2018,2.5,
14/10/2018,Home Again,2017,2,
14/10/2018,Johnny English Strikes Again,2018,3,
14/10/2018,First Man,2018,3,
19/10/2018,Halloween,2018,3.5,
28/10/2018,Trick 'r Treat,2007,3.5,
28/10/2018,Sexy Beast,2000,4,
29/10/2018,Searching,2018,4,
31/10/2018,"Two Days, One Night",2014,4,
02/11/2018,Slaughterhouse Rulez,2018,2,
03/11/2018,Eighth Grade,2018,3.5,
04/11/2018,The Villainess,2017,3,
04/11/2018,Divines,2016,4,
06/11/2018,Widows,2018,5,
09/11/2018,Wildlife,2018,3,
10/11/2018,Tully,2018,2.5,
11/11/2018,Superbad,2007,4.5,Yes
11/11/2018,Fear and Loathing in Las Vegas,1998,2.5,
11/11/2018,Three Colors: Blue,1993,4.5,
12/11/2018,Three Colors: White,1994,5,
13/11/2018,Three Colors: Red,1994,4.5,
16/11/2018,Overlord,2018,3,
17/11/2018,Ghost World,2001,2.5,
17/11/2018,Cam,2018,3.5,
18/11/2018,Trainspotting,1996,5,Yes
18/11/2018,A Bigger Splash,2015,2.5,
18/11/2018,Fantastic Beasts: The Crimes of Grindelwald,2018,2.5,
25/11/2018,Suspiria,2018,4.5,
29/11/2018,Suspiria,1977,3,
09/12/2018,Mortal Engines,2018,2.5,
09/12/2018,Spider-Man: Into the Spider-Verse,2018,4.5,
14/12/2018,Sorry to Bother You,2018,3.5,
22/12/2018,Mary Poppins Returns,2018,2.5,
23/12/2018,Mid90s,2018,3.5,
25/12/2018,Bad Times at the El Royale,2018,3,
26/12/2018,Hereditary,2018,4,
26/12/2018,My Night at Maud's,1969,4,
