Name,Year
Mean Streets,1973
The Color of Money,1986
Indiana Jones and the Temple of Doom,1984
Indiana Jones and the Last Crusade,1989
Gangs of New York,2002
Days of Heaven,1978
Badlands,1973
The Tree of Life,2011
Saving Private Ryan,1998
The Aviator,2004
A.I. Artificial Intelligence,2001
The Age of Innocence,1993
Schindler's List,1993
Jaws,1975
Hugo,2011
Jurassic Park,1993
After Hours,1985
Knight of Cups,2015
The Thin Red Line,1998
Raging Bull,1980
The New World,2005
The Grand Budapest Hotel,2014
Inherent Vice,2014
Alien,1979
Death Proof,2007
Spartacus,1960
127 Hours,2010
Paths of Glory,1957
The Curious Case of Benjamin Button,2008
Thelma & Louise,1991
Kill Bill: Vol. 2,2004
Boogie Nights,1997
Panic Room,2002
Sunshine,2007
Bottle Rocket,1996
Jackie Brown,1997
The Life Aquatic with Steve Zissou,2004
Lolita,1962
Rushmore,1998
Barry Lyndon,1975
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Magnolia,1999
Biutiful,2010
Waking Life,2001
Raising Arizona,1987
Miller's Crossing,1990
Barton Fink,1991
Boyhood,2014
Interiors,1978
21 Grams,2003
Gladiator,2000
A Scanner Darkly,2006
Hannah and Her Sisters,1986
Zelig,1983
Manhattan,1979
Black Hawk Down,2001
Stardust Memories,1980
"O Brother, Where Art Thou?",2000
Slacker,1990
A Serious Man,2009
Babel,2006
The Hudsucker Proxy,1994
Gran Torino,2008
Groundhog Day,1993
Incendies,2010
The Terminator,1984
Once Upon a Time in America,1984
Hunger,2008
The Elephant Man,1980
Butch Cassidy and the Sundance Kid,1969
Sin City,2005
8Â_,1963
"The Good, the Bad and the Ugly",1966
Eraserhead,1977
The Bourne Ultimatum,2007
A Fistful of Dollars,1964
Eternal Sunshine of the Spotless Mind,2004
Lawrence of Arabia,1962
For a Few Dollars More,1965
Once Upon a Time in the West,1968
Wild Tales,2014
12 Years a Slave,2013
Rocky,1976
Twelve Monkeys,1995
Infernal Affairs,2002
Goldfinger,1964
La Dolce Vita,1960
On Her Majesty's Secret Service,1969
Paprika,2006
Akira,1988
Merry Christmas Mr. Lawrence,1983
Casablanca,1942
M,1931
The Man Who Would Be King,1975
Enter the Void,2009
Koyaanisqatsi,1982
Howl's Moving Castle,2004
The Lord of the Rings: The Two Towers,2002
The Empire Strikes Back,1980
Return of the Jedi,1983
GoldenEye,1995
Dr. No,1962
Star Wars,1977
Kids,1995
AmÃ©lie,2001
Tokyo Godfathers,2003
Perfect Blue,1997
Crank,2006
Room,2015
Hotel Rwanda,2004
Seven Samurai,1954
Terminator 2: Judgment Day,1991
Memories of Murder,2003
Unforgiven,1992
High Noon,1952
The Martian,2015
Mary and Max,2009
The Princess Bride,1987
Serpico,1973
Pan's Labyrinth,2006
Die Hard,1988
"Spring, Summer, Fall, Winter... and Spring",2003
Heat,1995
The Lobster,2015
Princess Mononoke,1997
Spotlight,2015
Ip Man,2008
The Assassination of Jesse James by the Coward Robert Ford,2007
Wedding Crashers,2005
Melancholia,2011
Mommy,2014
Holes,2003
Donnie Brasco,1997
Yojimbo,1961
Falling Down,1993
Ronin,1998
The Revenant,2015
Colossus: The Forbin Project,1970
You Can Count on Me,2000
Swiss Army Man,2016
Powaqqatsi,1988
Cast Away,2000
Les MisÃ©rables,2012
The Legend I,1993
25th Hour,2002
The Sacrifice,1986
Solaris,1972
Pirates of the Caribbean: The Curse of the Black Pearl,2003
Sleepers,1996
Chinatown,1974
The Message,1976
Dog Day Afternoon,1975
Nostalgia,1983
The Battle of Algiers,1966
Demolition,2015
Stand by Me,1986
Captain Fantastic,2016
Personal Shopper,2016
Bill & Ted's Excellent Adventure,1989
What Ever Happened to Baby Jane?,1962
Manchester by the Sea,2016
Monster,2003
Point Break,1991
Sid & Nancy,1986
"Paris, Texas",1984
The Wailing,2016
Wish I Was Here,2014
Sunset Boulevard,1950
The King's Speech,2010
Twin Peaks,1989
Forgetting Sarah Marshall,2008
Witness for the Prosecution,1957
Sunrise: A Song of Two Humans,1927
Double Indemnity,1944
Bicycle Thieves,1948
Shadow of a Doubt,1943
Life Is Beautiful,1997
The Birds,1963
The Man Who Knew Too Much,1956
The Third Man,1949
Open Your Eyes,1997
"Synecdoche, New York",2008
Citizen Kane,1941
City Lights,1931
Jane Eyre,2011
Apocalypse Now,1979
The Conformist,1970
Adaptation.,2002
Pride & Prejudice,2005
In the Mood for Love,2000
A Single Man,2009
Vivre Sa Vie,1962
Being John Malkovich,1999
Mysterious Skin,2004
The Untouchables,1987
Train to Busan,2016
CafÃ© de Flore,2011
Masculin FÃ©minin,1966
The Man from Nowhere,2010
Breathless,1960
SubUrbia,1996
Moon,2009
The Great Escape,1963
The First Great Train Robbery,1978
The Big Boss,1971
Harold & Kumar Go to White Castle,2004
Elle,2016
Kiss Kiss Bang Bang,2005
A Nightmare on Elm Street,1984
Twin Peaks: The Return,2017
Son of Rambow,2007
Gummo,1997
Scream,1996
Your Name.,2016
Cinderella,2015
The Garden of Words,2013
Nocturama,2016
The Way of the Dragon,1972
Dawn of the Dead,2004
The Green Mile,1999
The Wrestler,2008
The Fountain,2006
The Evil Dead,1981
Fracture,2007
Gifted,2017
Raw,2016
Bad Santa,2003
